Date,Open,High,Low,Close,Adj Close,Volume
2012-04-02,13211.360352,13297.110352,13012.459961,13060.139648,13060.139648,467300000
2012-04-09,13057.570313,13057.719727,12710.559570,12849.589844,12849.589844,650850000
2012-04-16,12850.879883,13131.360352,12850.799805,13029.259766,13029.259766,701720000
2012-04-23,13028.200195,13266.679688,12845.580078,13228.309570,13228.309570,627160000
2012-04-30,13228.309570,13338.660156,13022.339844,13038.269531,13038.269531,567920000
2012-05-07,13035.849609,13049.089844,12748.480469,12820.599609,12820.599609,696180000
2012-05-14,12818.490234,12818.860352,12336.759766,12369.379883,12369.379883,830530000
2012-05-21,12369.150391,12575.959961,12311.559570,12454.830078,12454.830078,647760000
2012-05-28,12454.830078,12611.610352,12107.480469,12118.570313,12118.570313,598420000
2012-06-04,12119.849609,12555.259766,12035.089844,12554.200195,12554.200195,618480000
2012-06-11,12553.809570,12774.700195,12398.480469,12767.169922,12767.169922,771130000
2012-06-18,12767.019531,12898.940430,12561.459961,12640.780273,12640.780273,712310000
2012-06-25,12639.799805,12880.389648,12450.169922,12880.089844,12880.089844,658810000
2012-07-02,12879.709961,12961.299805,12702.990234,12772.469727,12772.469727,368050000
2012-07-09,12772.019531,12830.290039,12492.250000,12777.089844,12777.089844,607170000
2012-07-16,12776.330078,12977.570313,12645.099609,12822.570313,12822.570313,693440000
2012-07-23,12820.450195,13117.740234,12521.839844,13075.660156,13075.660156,691740000
2012-07-30,13075.349609,13133.179688,12778.900391,13096.169922,13096.169922,575650000
2012-08-06,13099.879883,13215.969727,13094.959961,13207.950195,13207.950195,435410000
2012-08-13,13204.929688,13281.320313,13112.940430,13275.200195,13275.200195,482240000
2012-08-20,13274.580078,13330.759766,13027.200195,13157.969727,13157.969727,512700000
2012-08-27,13157.740234,13176.169922,12978.910156,13090.839844,13090.839844,478990000
2012-09-03,13092.150391,13320.269531,12977.089844,13306.639648,13306.639648,467330000
2012-09-10,13308.559570,13653.240234,13251.389648,13593.370117,13593.370117,677180000
2012-09-17,13588.570313,13647.099609,13503.000000,13579.469727,13579.469727,912470000
2012-09-24,13577.849609,13620.209961,13367.269531,13437.129883,13437.129883,644290000
2012-10-01,13437.660156,13661.870117,13424.919922,13610.150391,13610.150391,522630000
2012-10-08,13589.259766,13610.379883,13296.429688,13328.849609,13328.849609,476420000
2012-10-15,13329.540039,13588.730469,13312.219727,13343.509766,13343.509766,731390000
2012-10-22,13344.280273,13368.549805,13017.370117,13107.209961,13107.209961,604000000
2012-10-29,13107.440430,13289.450195,13052.070313,13093.160156,13093.160156,416330000
2012-11-05,13092.280273,13290.750000,12743.389648,12815.389648,12815.389648,635330000
2012-11-12,12815.929688,12898.250000,12471.490234,12588.309570,12588.309570,693000000
2012-11-19,12590.230469,13011.450195,12590.230469,13009.530273,13009.530273,429480000
2012-11-26,13008.450195,13062.559570,12765.320313,13025.580078,13025.580078,647950000
2012-12-03,13027.730469,13157.280273,12923.440430,13155.129883,13155.129883,640400000
2012-12-10,13154.889648,13329.440430,13118.459961,13135.009766,13135.009766,589360000
